name,budget,seed,mode,hgs_cost,grader_cost,opt,n_routes,kmin,opt_routes,feasible,valid_perm,wall,gap_pct
XML100_1111_11,2.0,43,free,33262,33262,33202,25,25,25,1,1,2.519,0.1807120053008855
XML100_1111_11,2.0,42,free,33281,33281,33202,25,25,25,1,1,2.529,0.23793747364616588
XML100_1111_11,2.0,44,free,33230,33230,33202,25,25,25,1,1,2.527,0.08433226914041322
XML100_1111_11,5.0,42,free,33256,33256,33202,25,25,25,1,1,5.506,0.16264080477079693
XML100_1111_11,5.0,43,free,33202,33202,33202,25,25,25,1,1,5.515,0.0
XML100_1111_11,5.0,44,free,33230,33230,33202,25,25,25,1,1,5.517,0.08433226914041322
XML100_2122_05,2.0,42,free,17526,17526,17255,16,16,16,1,1,2.025,1.570559258186033
XML100_2122_05,2.0,43,free,17530,17530,17255,16,16,16,1,1,2.036,1.5937409446537236
XML100_2122_05,2.0,44,free,17508,17508,17255,16,16,16,1,1,2.022,1.4662416690814257
XML100_1111_11,10.0,43,free,33202,33202,33202,25,25,25,1,1,10.507,0.0
XML100_1111_11,10.0,42,free,33223,33223,33202,25,25,25,1,1,10.518,0.06324920185530993
XML100_1111_11,10.0,44,free,33202,33202,33202,25,25,25,1,1,10.021,0.0
XML100_2122_05,5.0,42,free,17416,17416,17255,16,16,16,1,1,5.014,0.9330628803245437
XML100_2122_05,5.0,43,free,17411,17411,17255,16,16,16,1,1,5.029,0.9040857722399305
XML100_2122_05,5.0,44,free,17315,17315,17255,16,16,16,1,1,5.02,0.34772529701535787
XML100_2122_05,10.0,42,free,17407,17407,17255,16,16,16,1,1,10.019,0.8809040857722399
XML100_2122_05,10.0,43,free,17411,17411,17255,16,16,16,1,1,10.023,0.9040857722399305
XML100_2122_05,10.0,44,free,17315,17315,17255,16,16,16,1,1,10.023,0.34772529701535787
XML100_3133_13,2.0,42,free,19972,19972,19683,10,10,10,1,1,2.019,1.4682721129909058
XML100_3133_13,2.0,43,free,19779,19779,19683,10,10,10,1,1,2.019,0.4877305288827923
XML100_3133_13,2.0,44,free,19831,19831,19683,10,10,10,1,1,2.03,0.7519178986943047
XML100_3133_13,5.0,42,free,19924,19924,19683,10,10,10,1,1,5.027,1.2244068485495097
XML100_3133_13,5.0,43,free,19779,19779,19683,10,10,10,1,1,5.023,0.4877305288827923
XML100_1111_11,30.0,42,free,33202,33202,33202,25,25,25,1,1,30.019,0.0
XML100_1111_11,30.0,43,free,33202,33202,33202,25,25,25,1,1,30.032,0.0
XML100_3133_13,5.0,44,free,19813,19813,19683,10,10,10,1,1,5.025,0.6604684245287812
XML100_1111_11,30.0,44,free,33202,33202,33202,25,25,25,1,1,30.039,0.0
XML100_3133_13,10.0,42,free,19821,19821,19683,10,10,10,1,1,10.033,0.7011126352690139
XML100_3133_13,10.0,43,free,19779,19779,19683,10,10,10,1,1,10.023,0.4877305288827923
XML100_3133_13,10.0,44,free,19813,19813,19683,10,10,10,1,1,10.049,0.6604684245287812
XML100_1244_21,2.0,42,free,13261,13261,13173,8,8,8,1,1,2.022,0.668033098003492
XML100_1244_21,2.0,43,free,13214,13214,13173,8,8,8,1,1,2.019,0.3112426933879906
XML100_2122_05,30.0,42,free,17355,17355,17255,16,16,16,1,1,30.019,0.5795421616922631
XML100_2122_05,30.0,43,free,17322,17322,17255,16,16,16,1,1,30.037,0.3882932483338163
XML100_1244_21,2.0,44,free,13199,13199,13173,8,8,8,1,1,2.02,0.19737341531921354
XML100_1244_21,5.0,43,free,13175,13175,13173,8,8,8,1,1,5.02,0.015182570409170272
XML100_1244_21,5.0,42,free,13199,13199,13173,8,8,8,1,1,5.033,0.19737341531921354
XML100_2122_05,30.0,44,free,17315,17315,17255,16,16,16,1,1,30.014,0.34772529701535787
XML100_1244_21,5.0,44,free,13199,13199,13173,8,8,8,1,1,5.043,0.19737341531921354
XML100_1244_21,10.0,42,free,13199,13199,13173,8,8,8,1,1,10.024,0.19737341531921354
XML100_1244_21,10.0,43,free,13175,13175,13173,8,8,8,1,1,10.027,0.015182570409170272
XML100_1244_21,10.0,44,free,13175,13175,13173,8,8,8,1,1,10.023,0.015182570409170272
XML100_2255_02,2.0,42,free,8746,8746,8743,6,6,6,1,1,2.019,0.03431316481756834
XML100_2255_02,2.0,43,free,8788,8788,8743,6,6,6,1,1,2.017,0.5146974722635251
XML100_2255_02,2.0,44,free,8747,8747,8743,6,6,6,1,1,2.025,0.04575088642342445
XML100_3133_13,30.0,42,free,19740,19740,19683,10,10,10,1,1,30.023,0.2895900015241579
XML100_3133_13,30.0,43,free,19772,19772,19683,10,10,10,1,1,30.028,0.45216684448508865
XML100_2255_02,5.0,42,free,8743,8743,8743,6,6,6,1,1,5.019,0.0
XML100_2255_02,5.0,43,free,8743,8743,8743,6,6,6,1,1,5.023,0.0
XML100_2255_02,5.0,44,free,8743,8743,8743,6,6,6,1,1,5.035,0.0
XML100_3133_13,30.0,44,free,19757,19757,19683,10,10,10,1,1,30.017,0.37595894934715235
XML100_2255_02,10.0,42,free,8743,8743,8743,6,6,6,1,1,10.029,0.0
XML100_2255_02,10.0,43,free,8743,8743,8743,6,6,6,1,1,10.017,0.0
XML100_3266_03,2.0,42,free,8814,8814,8774,3,3,3,1,1,2.029,0.45589240939138365
XML100_2255_02,10.0,44,free,8743,8743,8743,6,6,6,1,1,10.029,0.0
XML100_1244_21,30.0,42,free,13173,13173,13173,8,8,8,1,1,30.034,0.0
XML100_1244_21,30.0,43,free,13173,13173,13173,8,8,8,1,1,30.02,0.0
XML100_3266_03,2.0,43,free,8864,8864,8774,3,3,3,1,1,2.025,1.0257579211306131
XML100_3266_03,2.0,44,free,8884,8884,8774,3,3,3,1,1,2.025,1.253704125826305
XML100_3266_03,5.0,42,free,8778,8778,8774,3,3,3,1,1,5.028,0.04558924093913836
XML100_3266_03,5.0,43,free,8822,8822,8774,3,3,3,1,1,5.025,0.5470708912696604
XML100_3266_03,5.0,44,free,8819,8819,8774,3,3,3,1,1,5.019,0.5128789605653066
XML100_1244_21,30.0,44,free,13173,13173,13173,8,8,8,1,1,30.014,0.0
